year,district_number,name,SPD,CDU,CSU,GRUENE,FDP,PDS_LINKE,AFD,result,electoral_district_nr,electoral_district_name,federal_state_nr,federal_state_name,drought_index_per_district,Year_x,State,Year_y,combined_BA,Cropland_BA_hectares,Forest_BA_hectares,Grass_and_Shrubland_BA_hectares,Wetlands_BA_hectares,Settlement_BA_hectares,Other_BA_hectares
2002,1,Flensburg - Schleswig,"82845,0","70366,0","0,0","7440,0","7052,0","1930,0",,SPD,"1,0",Flensburg - Schleswig,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,2,Nordfriesland - Dithmarschen-Nord,"62899,0","63230,0","0,0","6331,0","7602,0","1592,0",,CDU,"2,0",Nordfriesland - Dithmarschen Nord,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,3,Steinburg - Dithmarschen-Süd,"63559,0","59689,0","0,0","5314,0","8261,0","1765,0",,SPD,"3,0",Steinburg - Dithmarschen Süd,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,4,Rendsburg-Eckernförde,"75617,0","63594,0","0,0","6788,0","8039,0","1608,0",,SPD,"4,0",Rendsburg-Eckernförde,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,5,Kiel,"81128,0","46520,0","0,0","10070,0","9146,0","3036,0",,SPD,"5,0",Kiel,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,6,Plön - Neumünster,"65669,0","53165,0","0,0","6931,0","6240,0","1409,0",,SPD,"6,0",Plön - Neumünster,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,7,Pinneberg,"85773,0","75910,0","0,0","10717,0","9607,0","1911,0",,SPD,"7,0",Pinneberg,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,8,Segeberg - Stormarn-Nord,"86883,0","75283,0","0,0","9310,0","11057,0","1972,0",,SPD,"8,0",Segeberg - Stormarn-Mitte,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,9,Ostholstein,"67701,0","57186,0","0,0","5466,0","7289,0","1285,0",,SPD,"9,0",Ostholstein - Stormarn-Nord,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,10,Herzogtum Lauenburg - Stormarn-Süd,"86859,0","79704,0","0,0","8726,0","10032,0","1922,0",,SPD,"10,0",Herzogtum Lauenburg - Stormarn-Süd,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,11,Lübeck,"68775,0","46823,0","0,0","9199,0","7290,0","2568,0",,SPD,"11,0",Lübeck,"1,0",Schleswig-Holstein,"0,0","2002,0",Schleswig-Holstein,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,901,Schleswig-Holstein,"827708,0","691470,0","0,0","86292,0","91615,0","20998,0",,SPD,,,,,,,,,,,,,,,
2002,0,,,,,,,,,,"0,0",,,,"4,0","2002,0",,,,,,,,,
2002,12,Wismar - Nordwestmecklenburg - Parchim,"71254,0","45373,0","0,0","4371,0","7060,0","22263,0",,SPD,"12,0",Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I,"13,0",Mecklenburg-Vorpommern,"0,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,13,Schwerin - Ludwigslust,"64755,0","32818,0","0,0","3328,0","5796,0","20410,0",,SPD,"13,0",Ludwigslust-Parchim II - Nordwestmecklenburg II - Landkreis Rostock I,"13,0",Mecklenburg-Vorpommern,"0,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,14,Rostock,"51207,0","24014,0","0,0","10428,0","4161,0","21016,0",,SPD,"14,0",Rostock - Landkreis Rostock II,"13,0",Mecklenburg-Vorpommern,"0,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,15,Stralsund - Nordvorpommern - Rügen,"46856,0","56069,0","0,0","2678,0","5362,0","21603,0",,CDU,"15,0",Vorpommern-Rügen - Vorpommern-Greifswald I,"13,0",Mecklenburg-Vorpommern,"1,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,16,Greifswald - Demmin - Ostvorpommern,"52045,0","53181,0","0,0","2374,0","7009,0","21805,0",,CDU,"16,0",Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,"13,0",Mecklenburg-Vorpommern,"0,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,17,Bad Doberan - Güstrow - Müritz,"74593,0","51386,0","0,0","4727,0","8938,0","25419,0",,SPD,"17,0",Mecklenburgische Seenplatte II - Landkreis Rostock III,"13,0",Mecklenburg-Vorpommern,"0,0","2002,0",Mecklenburg-Vorpommern,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,18,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,"50865,0","43321,0","0,0","2898,0","8662,0","26776,0",,SPD,"18,0",Hamburg-Mitte,"2,0",Hamburg,"0,0","2002,0",Hamburg,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,913,Mecklenburg-Vorpommern,"411575,0","306162,0","0,0","30804,0","46988,0","159292,0",,SPD,,,,,,,,,,,,,,,
2002,0,,,,,,,,,,"0,0",,,,"4,0","2002,0",,,,,,,,,
2002,19,Hamburg-Mitte,"97680,0","47812,0","0,0","20583,0","8451,0","3705,0",,SPD,"19,0",Hamburg-Altona,"2,0",Hamburg,"0,0","2002,0",Hamburg,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
2002,20,Hamburg-Altona,"67167,0","43234,0","0,0","14885,0","6644,0","2781,0",,SPD,"20,0",Hamburg-Eimsbüttel,"2,0",Hamburg,"0,0","2002,0",Hamburg,"2002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
