state;county;year;party;county_fips;Cropland_BA_hectares;Forest_BA_hectares;Grass_and_Shrubland_BA_hectares;Wetlands_BA_hectares;Settlement_BA_hectares;Other_BA_hectares;Cropland_BA_hectares_index;Forest_BA_hectares_index;Grass_and_Shrubland_BA_hectares_index;Wetlands_BA_hectares_index;Settlement_BA_hectares_index;Other_BA_hectares_index;index;value
ALABAMA;AUTAUGA;2004;REPUBLICAN;1001;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;6,923076923076923
ALABAMA;AUTAUGA;2008;REPUBLICAN;1001;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;1,849056603773585
ALABAMA;AUTAUGA;2012;REPUBLICAN;1001;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;1,3076923076923077
ALABAMA;AUTAUGA;2016;REPUBLICAN;1001;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;4,961538461538462
ALABAMA;BALDWIN;2004;REPUBLICAN;1003;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;7,3076923076923075
ALABAMA;BALDWIN;2008;REPUBLICAN;1003;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;4,0754716981132075
ALABAMA;BALDWIN;2012;REPUBLICAN;1003;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;3,326923076923077
ALABAMA;BALDWIN;2016;REPUBLICAN;1003;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;6,346153846153846
ALABAMA;BARBOUR;2004;REPUBLICAN;1005;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;6,711538461538462
ALABAMA;BARBOUR;2008;REPUBLICAN;1005;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;2,830188679245283
ALABAMA;BARBOUR;2012;DEMOCRAT;1005;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;3,326923076923077
ALABAMA;BARBOUR;2016;REPUBLICAN;1005;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;5,0576923076923075
ALABAMA;BIBB;2004;REPUBLICAN;1007;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;8,134615384615385
ALABAMA;BIBB;2008;REPUBLICAN;1007;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;1,849056603773585
ALABAMA;BIBB;2012;REPUBLICAN;1007;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;3,8076923076923075
ALABAMA;BIBB;2016;REPUBLICAN;1007;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;4,519230769230769
ALABAMA;BLOUNT;2004;REPUBLICAN;1009;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;8,48076923076923
ALABAMA;BLOUNT;2008;REPUBLICAN;1009;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;2,2264150943396226
ALABAMA;BLOUNT;2012;REPUBLICAN;1009;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;5,480769230769231
ALABAMA;BLOUNT;2016;REPUBLICAN;1009;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;4,384615384615385
ALABAMA;BULLOCK;2004;DEMOCRAT;1011;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;6,615384615384615
ALABAMA;BULLOCK;2008;DEMOCRAT;1011;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;1,830188679245283
ALABAMA;BULLOCK;2012;DEMOCRAT;1011;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;2,730769230769231
ALABAMA;BULLOCK;2016;DEMOCRAT;1011;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;5,365384615384615
ALABAMA;BUTLER;2004;REPUBLICAN;1013;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;6,923076923076923
ALABAMA;BUTLER;2008;REPUBLICAN;1013;1479,0;69763,0;3369,0;943,0;43,0;0,0;0,01089366340863391;0,5138435702342984;0,024814572024129577;0,006945723187519796;0,0003167190849028114;0,0;0,5568142479394845;2,2452830188679247
ALABAMA;BUTLER;2012;REPUBLICAN;1013;1866,0;11741,0;708,0;43,0;0,0;0,0;0,013744135172759213;0,08647904129869556;0,00521481656072536;0,0003167190849028114;0,0;0,0;0,10575471211708296;2,6153846153846154
ALABAMA;BUTLER;2016;REPUBLICAN;1013;1695,0;16594,0;772,0;85,0;21,0;42,0;0,012484624393261987;0,12222410453202913;0,005686212408022568;0,0006260726096916039;0,00015467676239439628;0,00030935352478879256;0,14148504423018848;6,538461538461538
ALABAMA;CALHOUN;2004;REPUBLICAN;1015;3198,0;35656,0;3261,0;171,0;0,0;0,0;0,023555061244632348;0,26262641142545684;0,02401909153181554;0,001259510779497227;0,0;0,0;0,311460074981402;7,096153846153846
